appln_nr_epodoc,earliest_filing_date,inpadoc_family_id,appln_nr_original,earliest_filing_year,docdb_family_size,ipr_type,earliest_filing_id,nb_citing_docdb_fam,receiving_office,earliest_publn_date,appln_kind,appln_id,internat_appln_id,earliest_publn_year,nb_applicants,appln_auth,appln_nr,int_phase,earliest_pat_publn_id,nb_inventors,appln_filing_date,reg_phase,granted,appln_filing_year,nat_phase,docdb_family_id,priority_auth
US201314115048,2012-04-19,364516874,14115048,2012,11,PI,364516874,19,  ,2014-02-27,A ,415423988,405697572,2014,1,US,201314115048,Y,415423989,1,2013-04-19,N,Y,2013,Y,48143293,GB
AU20130251093,2012-04-19,364516874,2013251093,2012,11,PI,364516874,19,  ,2014-11-20,A ,423876210,405697572,2014,1,AU,2013251093,Y,423876211,1,2013-04-19,N,N,2013,Y,48143293,GB
CA20132870777,2012-04-19,364516874,2870777,2012,11,PI,364516874,19,  ,2013-10-24,A ,423997020,405697572,2013,1,CA,2870777,Y,423997021,1,2013-04-19,N,N,2013,Y,48143293,GB
CN20138020191,2012-04-19,364516874,2013800201911,2012,11,PI,364516874,19,  ,2015-01-21,A ,425647360,405697572,2015,1,CN,201380020191,Y,425647361,1,2013-04-19,N,N,2013,Y,48143293,GB
DK2021PA70375,2019-02-05,507215224,PA202170375,2019,8,PI,507215224,0,  ,2021-07-14,A ,554166109,526147311,2021,1,DK,PA202170375,Y,554166110,3,2021-07-12,N,N,2021,Y,65520050,EP
CA20203124621,2019-02-05,507215224,3124621,2019,8,PI,507215224,0,  ,2020-08-13,A ,554761173,526147311,2020,1,CA,3124621,Y,554761174,3,2020-02-04,N,N,2020,Y,65520050,EP
US202117526948,2019-03-01,512529226,17526948,2019,4,PI,512529226,3,  ,2022-03-10,A ,568127988,0,2022,1,US,202117526948,N,568127989,2,2021-11-15,N,Y,2021,Y,66377383,GB
JP20210545872,2019-02-05,507215224,2021545872,2019,8,PI,507215224,0,  ,2022-04-01,A ,569887270,526147311,2022,0,JP,2021545872,Y,569887271,0,2020-02-04,N,N,2020,Y,65520050,EP
CL20210002036,2019-02-05,507215224,2021002036,2019,8,PI,507215224,0,  ,2022-03-04,A ,570553416,0,2022,1,CL,2021002036,N,570553417,3,2021-08-02,N,N,2021,Y,65520050,EP
US202017433407,2019-02-05,507215224,17433407,2019,8,PI,507215224,0,  ,2022-11-03,A ,582084452,526147311,2022,1,US,202017433407,Y,582084453,3,2020-02-04,N,N,2020,Y,65520050,EP
WO2013EP58236,2012-04-19,364516874,EP2013/058236,2012,11,PI,364516874,19,EP,2013-10-24,W ,405697572,0,2013,1,WO,2013058236,Y,411659497,1,2013-04-19,N,N,2013,N,48143293,GB
EP20130717777,2012-04-19,364516874,13717777,2012,11,PI,364516874,19,  ,2015-02-25,A ,405878013,405697572,2015,1,EP,13717777,Y,425766825,1,2013-04-19,Y,Y,2013,N,48143293,GB
GB20130007156,2012-04-19,364516874,GB1307156,2012,11,PI,364516874,19,  ,2013-05-29,A ,407039790,0,2013,1,GB,201307156,N,408287469,1,2013-04-19,N,Y,2013,Y,48143293,GB
DK20130717777T,2012-04-19,364516874,13717777,2012,11,PI,364516874,19,  ,2019-01-07,T ,505760771,405697572,2019,1,DK,13717777,Y,505760772,1,2013-04-19,Y,Y,2013,Y,48143293,GB
EP20190155627,2019-02-05,507215224,19155627,2019,8,PI,507215224,0,  ,2020-08-12,A ,507215224,0,2020,1,EP,19155627,N,534353529,3,2019-02-05,Y,N,2019,N,65520050,EP
ES20130717777T,2012-04-19,364516874,13717777,2012,11,PI,364516874,19,  ,2019-02-12,T ,507545026,405697572,2019,1,ES,13717777,Y,507545027,1,2013-04-19,Y,Y,2013,Y,48143293,GB
GB20190002772,2019-03-01,512529226,GB1902772,2019,4,PI,512529226,3,  ,2019-04-17,A ,512529226,0,2019,1,GB,201902772,N,512529227,0,2019-03-01,N,N,2019,Y,66377383,GB
EP20190176524,2019-03-01,512529226,19176524,2019,4,PI,512529226,3,  ,2020-09-02,A ,513501174,0,2020,1,EP,19176524,N,535535398,2,2019-05-24,Y,Y,2019,N,66377383,GB
GB20190006414,2019-05-07,517131697,GB1906414,2019,2,PI,517131697,0,  ,2019-06-19,A ,517131697,0,2019,1,GB,201906414,N,517131698,1,2019-05-07,N,N,2019,Y,67384992,GB
US201916378630,2012-04-19,364516874,16378630,2012,11,PI,364516874,19,  ,2019-09-12,A ,519110544,405697572,2019,1,US,201916378630,Y,519110545,1,2019-04-09,N,Y,2019,Y,48143293,GB
US201916389559,2018-04-20,520958983,16389559,2018,1,PI,905825793,1,  ,2019-10-24,A ,520958983,0,2019,1,US,201916389559,N,520958984,1,2019-04-19,N,Y,2019,Y,68238435,US
PT20130717777T,2012-04-19,364516874,,2012,11,PI,364516874,19,  ,2018-12-17,T ,521449341,0,2018,1,PT,13717777,N,521449342,1,2013-04-19,Y,Y,2013,Y,48143293,GB
WO2020EP52688,2019-02-05,507215224,EP2020/052688,2019,8,PI,507215224,0,EP,2020-08-13,W ,526147311,0,2020,1,WO,2020052688,Y,536238181,3,2020-02-04,N,N,2020,N,65520050,EP
EP20200703451,2019-02-05,507215224,20703451,2019,8,PI,507215224,0,  ,2021-12-15,A ,526469776,526147311,2021,1,EP,20703451,Y,560803781,3,2020-02-04,Y,N,2020,N,65520050,EP
US201916421585,2019-03-01,512529226,16421585,2019,4,PI,512529226,3,  ,2020-09-03,A ,537221857,0,2020,1,US,201916421585,N,537221858,2,2019-05-24,N,Y,2019,Y,66377383,GB
WO2020NO50115,2019-05-07,517131697,NO2020/050115,2019,2,PI,517131697,0,NO,2020-11-12,W ,540543342,0,2020,1,WO,2020050115,Y,540543343,1,2020-05-06,N,N,2020,N,67384992,GB
